movie_ID,genre_1,genre_2,genre_3
tt10023318,Drama,,
tt10023330,Drama,,
tt10023364,Documentary,,
tt10023506,Drama,Family,
tt10023640,Documentary,,
tt10023754,Documentary,,
tt10023812,Documentary,,
tt10024036,Documentary,,
tt10024044,Documentary,,
tt10024716,Family,,
tt10025064,Musical,,
tt10025196,Drama,,
tt10025234,Documentary,,
tt10025368,Horror,Thriller,
tt1002563,Drama,Fantasy,
tt1002569,Drama,,
tt10025790,Drama,,
tt10026172,Documentary,,
tt10026190,Horror,,
tt10026308,Documentary,,
tt10026686,Documentary,,
tt10026722,Documentary,,
tt10026730,Documentary,,
tt10027174,Drama,,
tt10027474,Comedy,Horror,
tt10027696,Documentary,,
tt10027708,Documentary,Music,
tt10027848,Comedy,,
tt10028030,Action,,
tt10028196,Comedy,Drama,
tt10028240,Horror,,
tt10028708,Drama,Romance,
tt10028766,Documentary,,
tt10028772,Documentary,,
tt10028818,Documentary,,
tt10029166,Documentary,,
tt10029182,Documentary,,
tt1002965,Documentary,,
tt10032640,Biography,Documentary,
tt10033686,Comedy,Horror,Mystery
tt10033708,Documentary,,
tt10033760,Drama,,
tt10033822,Romance,,
tt10033852,Romance,,
tt10033856,Comedy,,
tt10033904,Romance,,
tt10033908,Drama,,
tt10033964,Horror,,
tt10034136,Drama,,
tt10034236,Thriller,,
tt10034238,Documentary,,
tt10034256,Documentary,,
tt10034272,Drama,Family,
tt10034400,Action,,
tt10035012,Horror,,
tt10035068,Documentary,,
tt10035120,Drama,,
tt10035152,Drama,,
tt10035404,Drama,Romance,
tt10036378,Documentary,,
tt10036406,Drama,,
tt10036714,Documentary,,
tt10036868,Documentary,,
tt10036992,Drama,,
tt10037056,Documentary,,
tt10037312,Action,,
tt10037382,Documentary,,
tt10037428,Documentary,,
tt10037452,Musical,,
tt10037542,Documentary,,
tt10037562,Drama,Thriller,
tt10037700,Adventure,Animation,Family
tt10037702,Biography,Documentary,Family
tt10037834,Comedy,Drama,
tt10037836,Drama,Horror,Thriller
tt10037872,Documentary,Music,
tt10038006,Documentary,,
tt10038080,Drama,,
tt10038128,Documentary,,
tt10038708,Drama,,
tt10038734,Horror,,
tt10038738,Comedy,Romance,
tt10038826,Adventure,Family,Sci-Fi
tt10039008,Drama,,
tt10039014,Comedy,Drama,
tt10039022,Romance,,
tt10039064,Drama,,
tt10039152,Horror,,
tt10039344,Thriller,,
tt10039468,Comedy,Drama,
tt10039472,Romance,,
tt10039528,Mystery,,
tt10039546,Comedy,Drama,
tt10039642,Documentary,,
tt10039682,Documentary,Music,
tt10040094,Animation,Comedy,Drama
tt10040484,Documentary,,
tt10040610,Documentary,,
tt10040978,Horror,,
tt10041300,Documentary,Drama,Family
tt10041438,Documentary,,
tt10041958,Documentary,,
tt10041978,Drama,,
tt10042440,Action,,
tt10042446,Action,,
tt10042456,Drama,,
tt10042640,Documentary,,
tt10042678,Drama,,
tt10042696,Drama,,
tt10042704,Documentary,,
tt10042824,Documentary,,
tt10043058,Action,,
tt10043150,Horror,,
tt10043212,Documentary,,
tt10043732,Biography,Drama,
tt10043868,Action,,
tt10043990,Thriller,,
tt10044000,Documentary,,
tt10044182,Horror,Thriller,
tt10044704,Drama,Romance,
tt10044934,Drama,,
tt10045014,Action,,
tt10045072,Documentary,,
tt10045134,Drama,Horror,Mystery
tt10045136,Documentary,,
tt10045260,Horror,,
tt10045266,Drama,,
tt10045422,Documentary,,
tt10045434,Comedy,Drama,
tt10045444,Documentary,,
tt10045828,Documentary,,
tt10046208,Drama,Mystery,
tt10046236,Horror,,
tt10047128,Drama,,
tt10047356,Mystery,,
tt10047768,Biography,Documentary,
tt10048028,Documentary,,
tt10048070,Comedy,Drama,
tt10048096,Drama,Fantasy,
tt10048332,Documentary,Music,
tt10048376,Drama,,
tt10048408,Drama,,
tt10048556,Thriller,,
tt10048976,Drama,,
tt10049110,Documentary,,
tt10049152,Comedy,Drama,
tt10049176,Drama,Family,
tt10049210,Family,,
tt10049238,Documentary,,
tt10049262,Comedy,Romance,
tt10049768,Drama,,
tt10050098,Thriller,,
tt10050150,Action,,
tt10050274,Adventure,Fantasy,
tt10050292,Drama,,
tt10050404,Drama,,
tt10050592,Drama,,
tt10050608,Drama,,
tt10050612,Fantasy,,
tt10050614,Drama,,
tt10050686,Horror,Thriller,
tt10050722,Drama,,
tt10050738,Action,Thriller,
tt10050766,Documentary,Drama,
tt10050782,Documentary,,
tt10050816,Documentary,,
tt10051124,Documentary,,
tt10051320,Thriller,,
tt10052156,Drama,,
tt10052290,Biography,Drama,Family
tt10052452,Comedy,Horror,
tt10053270,Documentary,,
tt10054198,Documentary,,
tt10054330,Documentary,,
tt10054536,Drama,,
tt10054544,Thriller,,
tt10054624,Documentary,,
tt10054672,Documentary,,
tt10054906,Documentary,Musical,
tt10054952,Biography,Documentary,
tt10055284,Adventure,,
tt10055762,Drama,,
tt10055770,Thriller,,
tt10055774,Comedy,,
tt10056028,Documentary,,
tt10056070,Comedy,Drama,
tt10056072,Crime,,
tt10056270,Biography,Documentary,
tt10056322,Drama,,
tt10056330,Documentary,,
tt10056334,Documentary,,
tt10056452,Comedy,,
tt10056504,Adventure,Drama,Mystery
tt10056564,Documentary,,
tt10056728,Documentary,,
tt10057076,Documentary,,
tt10057466,Animation,,
tt10058356,Documentary,,
tt10058744,Documentary,,
tt10059220,Drama,,
tt10059236,Drama,,
tt10059440,Documentary,,
tt10059478,Documentary,,
tt10059530,Documentary,,
tt10059624,Animation,,
tt10059756,Documentary,,
tt10060902,Horror,,
tt10061256,Drama,,
tt10061464,Thriller,,
tt10061766,Comedy,Crime,Drama
tt10062102,Drama,,
tt10062150,Documentary,History,
tt10062286,Documentary,,
tt10062474,Fantasy,,
tt10062480,Documentary,,
tt10062530,Documentary,,
tt10062546,Documentary,,
tt10062556,History,,
tt10062606,Documentary,,
tt10062650,Drama,,
tt10062704,Drama,Horror,
tt10063028,Documentary,,
tt10063078,Drama,,
tt10063814,Documentary,,
tt10063976,Documentary,,
tt10064326,Drama,,
