movie_ID,production_budget,gross_income,net_income,cost_income_ratio
tt8155288,9000000,64179495,55179495,0.1402317048459169
tt1402488,135000000,157956466,22956466,0.8546658672396482
tt1907639,1000000,96734,-903266,10.337626894370128
tt7158430,2000000,2420962,420962,0.8261178820650634
tt3276924,8900000,3324131,-5575869,2.67739147464405
tt5112932,8900000,3324131,-5575869,2.67739147464405
tt2852376,1000000,552614,-447386,1.8095813714455298
tt1999890,5500000,18119231,12619231,0.30354489106077404
tt2582782,12000000,37584304,25584304,0.31928221951376295
tt2274648,50000000,40725492,-9274508,1.2277322518289036
tt1267297,100000000,243388614,143388614,0.4108655633332133
tt3985956,100000000,243388614,143388614,0.4108655633332133
tt1648179,42000000,73239258,31239258,0.5734629370494169
tt1212419,50000000,108660270,58660270,0.4601497861177779
tt7784604,10000000,70133905,60133905,0.14258438910538349
tt4846340,25000000,231771716,206771716,0.10786475775154548
tt1562568,1800000,842693,-957307,2.1360091990796173
tt2924392,500000,528,-499472,946.969696969697
tt2679042,35000000,82182803,47182803,0.42587985226057573
tt1640459,3000000,834953,-2165047,3.593016612911146
tt1255919,42000000,41926605,-73395,1.0017505591020308
tt2076220,4000000,4230426,230426,0.9455312538264468
tt2224026,130000000,385997896,255997896,0.3367894005308257
tt5121236,130000000,385997896,255997896,0.3367894005308257
tt5775862,130000000,385997896,255997896,0.3367894005308257
tt5884960,130000000,385997896,255997896,0.3367894005308257
tt5719700,15000000,37336874,22336874,0.4017476128290762
tt2051894,1200000,2859955,1659955,0.4195870214741141
tt2312718,22000000,51695362,29695362,0.425570092729015
tt2558484,22000000,51695362,29695362,0.425570092729015
tt1411704,63000000,188657593,125657593,0.3339383217933879
tt1535438,30000000,133085295,103085295,0.22541934478936987
tt1499658,35000000,212417601,177417601,0.1647697734803059
tt2170439,40000000,105945357,65945357,0.3775531191989848
tt2967224,35000000,45671512,10671512,0.7663420470949155
tt1231587,36000000,65967750,29967750,0.5457212046795593
tt2637294,14000000,12826644,-1173356,1.0914780202834038
tt5834262,15000000,12758799,-2241201,1.1756592450433618
tt0837562,85000000,378505812,293505812,0.2245672254036617
tt2510894,80000000,469500298,389500298,0.1703939280566761
tt5220122,65000000,527079962,462079962,0.1233209468888897
tt1582507,6900000,44103982,37203982,0.15644845855415052
tt3504048,1500000,236863,-1263137,6.332774641881594
tt1573072,10100000,18726300,8626300,0.5393484030481195
tt4795124,10000000,62556228,52556228,0.15985618570224536
tt0892769,165000000,494870992,329870992,0.333420230054624
tt1646971,145000000,614586270,469586270,0.2359310760391702
tt2386490,129000000,519258283,390258283,0.24843128019972288
tt0970179,180000000,180047784,47784,0.9997346037871813
tt4698684,2500000,23845533,21345533,0.10484143927502061
tt3212232,18000000,309608,-17690392,58.13803260897651
tt6450186,7000000,85604221,78604221,0.08177166871245753
tt1742650,24000000,24474463,474463,0.9806139566780281
tt6791096,32000000,91553797,59553797,0.3495212765451989
tt2884206,1000000,852399,-147601,1.1731595180191436
tt1242432,1750000,1278471,-471529,1.3688226013730465
tt1560957,400000,433588,33588,0.922534756496951
tt1418377,65000000,74575290,9575290,0.8716023766049049
tt5580036,11000000,53797409,42797409,0.20447081382674023
tt3416828,105000000,402156682,297156682,0.26109226751577386
tt1667889,95000000,879765137,784765137,0.10798336511031807
tt2024432,35000000,175361578,140361578,0.199587620042972
tt7125860,12000000,19859167,7859167,0.6042549518819194
tt1355630,11000000,78356170,67356170,0.1403846053220825
tt1253864,75000000,211562435,136562435,0.3545052787844874
tt1637688,35000000,165103952,130103952,0.2119876573275484
tt1390411,100000000,89693309,-10306691,1.1149103663908755
tt3216348,5000000,9371036,4371036,0.5335589362798308
tt1255953,6800000,16038343,9238343,0.42398394896530145
tt1375666,160000000,835524642,675524642,0.19149644661228316
tt3606756,200000000,1242520711,1042520711,0.16096311170462252
tt1628841,165000000,384169424,219169424,0.42949800190241066
