movie_ID,average_rating
tt8556014,7.9
tt8558596,4.8
tt8569390,6.3
tt8579840,5.5
tt8580948,8.8
tt8587122,6.0
tt8593814,9.3
tt8609374,5.1
tt8617648,3.8
tt8653640,8.3
tt8679160,6.7
tt8682630,8.9
tt8684786,5.5
tt8698560,6.5
tt8714366,7.3
tt8718066,7.2
tt8722030,1.7
tt8756098,7.2
tt8763008,5.7
tt8814978,6.3
tt8820198,8.4
tt8828434,7.7
tt8835552,7.0
tt8837044,5.1
tt8842320,6.5
tt8852242,7.3
tt8857350,6.8
tt8883524,6.9
tt8933330,3.7
tt8976472,6.6
tt8977440,2.3
tt8997034,5.2
tt9015764,6.7
tt9024664,7.1
tt9053030,7.2
tt9080630,2.1
tt9088588,7.3
tt9094980,7.0
tt9114436,6.7
tt9115662,6.4
tt9118870,6.7
tt9130246,8.6
tt9139040,7.9
tt9141128,7.1
tt9154776,3.0
tt9159000,6.5
tt9190740,8.3
tt9204352,6.4
tt9310460,5.9
tt9353436,7.6
tt9358044,6.8
tt9358256,7.3
tt9450542,4.0
tt9529752,1.7
tt9562694,2.6
tt9567548,7.8
tt9593792,6.1
tt9648942,6.7
tt9657946,6.0
tt9659470,4.5
tt9703880,7.5
tt9723084,6.7
tt9762928,5.9
tt9838372,5.7
tt9845012,8.0
tt9865446,8.5
tt0066787,7.2
tt0844915,7.5
tt0847735,4.5
tt0879870,5.8
tt0892318,6.6
tt0959329,5.5
tt0960067,6.9
tt0988655,4.7
tt10016532,6.1
tt10066162,6.5
tt10078894,2.3
tt10122038,7.6
tt1015471,6.2
tt10179072,6.1
tt1020982,6.6
tt10308686,9.3
tt10312668,8.9
tt10338308,7.0
tt1053835,6.2
tt1071783,4.7
tt1071872,7.1
tt1079964,5.0
tt1091212,6.5
tt1092634,6.4
tt1111900,7.8
